#separator:tab
#html:true
#columns:Front	Back	Tags
Capitalisation composée : valeur acquise de C après n périodes au taux i ?	C(1+i)^n.	CEA_ISUP Finance capitalisation
Parité put-call européenne ?	C−P = S−K B(0,T).	CEA_ISUP Finance options
Payoff d'un call à maturité ?	max(S_T−K,0).	CEA_ISUP Finance options
Payoff d'un put à maturité ?	max(K−S_T,0).	CEA_ISUP Finance options
Binomial 1 période : probabilité risque-neutre q ?	q=[(1+r)−d]/(u−d).	CEA_ISUP Finance binomial
Binomial : prix d'un dérivé ?	V_0=[qV_u+(1−q)V_d]/(1+r).	CEA_ISUP Finance binomial
Pourquoi les probabilités physiques ne sont-elles pas nécessaires au pricing binomial sans arbitrage ?	Le prix est obtenu par réplication / mesure risque-neutre.	CEA_ISUP Finance binomial
Delta d'un dérivé dans un binomial une période ?	Δ=(V_u−V_d)/(S_u−S_d).	CEA_ISUP Finance binomial
Couverture d'une position short call : signe du delta à détenir ?	Acheter Δ actions par call vendu.	CEA_ISUP Finance hedging
Capital 10 000 €  taux 3.5 %  10 ans : valeur acquise ?	14 106 € environ.	CEA_ISUP Finance capitalisation calcul
Capital 5 000 €  taux 2.5 %  20 ans : valeur acquise ?	8 193 € environ.	CEA_ISUP Finance capitalisation calcul
Capital 12 000 €  taux 4.0 %  5 ans : valeur acquise ?	14 600 € environ.	CEA_ISUP Finance capitalisation calcul
Capital 8 000 €  taux 3.0 %  8 ans : valeur acquise ?	10 134 € environ.	CEA_ISUP Finance capitalisation calcul
10 versements annuels de 10 000 € en début de période  taux 3.5 % : valeur finale ?	121 420 € environ.	CEA_ISUP Finance annuites calcul
20 versements annuels de 5 000 € en début de période  taux 2.5 % : valeur finale ?	130 916 € environ.	CEA_ISUP Finance annuites calcul
8 versements annuels de 6 000 € en fin de période  taux 3.0 % : valeur finale ?	53 354 € environ.	CEA_ISUP Finance annuites calcul
12 versements annuels de 2 500 € en fin de période  taux 4.0 % : valeur finale ?	37 565 € environ.	CEA_ISUP Finance annuites calcul
15 versements annuels de 3 000 € en début de période  taux 2.0 % : valeur finale ?	52 918 € environ.	CEA_ISUP Finance annuites calcul
6 versements annuels de 8 000 € en fin de période  taux 5.0 % : valeur finale ?	54 415 € environ.	CEA_ISUP Finance annuites calcul
Emprunt 200 000 €  10 ans  taux 3.00 %  annuités constantes : annuité ?	23 446 € environ.	CEA_ISUP Finance credit calcul
Emprunt 350 000 €  20 ans  taux 3.25 %  annuités constantes : annuité ?	24 073 € environ.	CEA_ISUP Finance credit calcul
Emprunt 100 000 €  10 ans  taux 4.00 %  annuités constantes : annuité ?	12 329 € environ.	CEA_ISUP Finance credit calcul
Emprunt 150 000 €  15 ans  taux 2.50 %  annuités constantes : annuité ?	12 115 € environ.	CEA_ISUP Finance credit calcul
Emprunt 80 000 €  7 ans  taux 5.00 %  annuités constantes : annuité ?	13 826 € environ.	CEA_ISUP Finance credit calcul
Crédit 15 000 €  taux 3.5 %  2 ans de différé total  puis 13 remboursements : logique/calcul ?	Capital après différé = 15 000(1+0.035)^2 ≈ 16 068; annuité ≈ 1 560 €.	CEA_ISUP Finance credit differe
Crédit 15 000 €  taux 3.5 %  2 ans de différé d'amortissement  puis 13 remboursements : logique/calcul ?	Pendant le différé : 525 € d'intérêts/an ; puis annuité ≈ 1 456 €.	CEA_ISUP Finance credit differe
Crédit 30 000 €  taux 3.0 %  3 ans de différé total  puis 12 remboursements : logique/calcul ?	Capital après différé = 30 000(1+0.030)^3 ≈ 32 782; annuité ≈ 3 293 €.	CEA_ISUP Finance credit differe
Crédit in fine 50 000 €  10 ans  taux 3.5 % : intérêts totaux ?	17 500 €.	CEA_ISUP Finance credit in_fine
Crédit in fine 100 000 €  12 ans  taux 3.0 % : intérêts totaux ?	36 000 €.	CEA_ISUP Finance credit in_fine
Crédit in fine 60 000 €  12 ans  taux 2.0 % : intérêts totaux ?	14 400 €.	CEA_ISUP Finance credit in_fine
Amortissement constant : 60 000 € sur 12 ans à 2 %. Montant de la 10e annuité ?	Amortissement = 5 000 €. CRD avant 10e = 15 000 €. Intérêt = 300 €. Annuité = 5 300 €.	CEA_ISUP Finance credit amortissement_constant
Obligation nominal 100, coupon 1,5, prix 100, maturité 5 ans : rendement à maturité ?	1,5 % : à prix au pair, coupon = rendement.	CEA_ISUP Finance obligation
Obligation de sensibilité 5 : si le rendement augmente de 0,5 %, variation relative approximative du prix ?	−5×0,5 % = −2,5 %.	CEA_ISUP Finance obligation sensibilite
Action 36 €, zéro-coupon nominal 100 à 5 ans coté 88 : forward 5 ans sans dividende ?	F=36/(88/100)=40,91 €.	CEA_ISUP Finance forward
Action 25 €, zéro-coupon nominal 100 à 2 ans coté 94 : forward 2 ans sans dividende ?	F=25/0,94≈26,60 €.	CEA_ISUP Finance forward
S=35, C=5, K=35, maturité 2 ans, taux 3 % annuel. Put via parité put-call ?	P=C−S+K/(1,03)^2 ≈ 2,99 €,	CEA_ISUP Finance options put_call
Binomial : S0=56, u=1.10, d=0.90, r=5.0 %. Probabilité risque-neutre q ?	q=[(1+r)−d]/(u−d)=0.750.	CEA_ISUP Finance binomial q
Même arbre : call K=52.5. Payoffs haut/bas ?	V_u=9.10, V_d=0.00.	CEA_ISUP Finance binomial payoff
Même arbre : prix aujourd'hui du call K=52.5 ?	V0≈6.50.	CEA_ISUP Finance binomial pricing
Même arbre : delta de couverture du call ?	Δ=(V_u−V_d)/(S_u−S_d)≈0.812.	CEA_ISUP Finance binomial delta
Binomial : S0=40, u=1.20, d=0.80, r=3.0 %. Probabilité risque-neutre q ?	q=[(1+r)−d]/(u−d)=0.575.	CEA_ISUP Finance binomial q
Même arbre : put K=40. Payoffs haut/bas ?	V_u=0.00, V_d=8.00.	CEA_ISUP Finance binomial payoff
Même arbre : prix aujourd'hui du put K=40 ?	V0≈3.30.	CEA_ISUP Finance binomial pricing
Même arbre : delta de couverture du put ?	Δ=(V_u−V_d)/(S_u−S_d)≈-0.500.	CEA_ISUP Finance binomial delta
Binomial : S0=28, u=1.25, d=0.85, r=2.5 %. Probabilité risque-neutre q ?	q=[(1+r)−d]/(u−d)=0.437.	CEA_ISUP Finance binomial q
Même arbre : call K=32. Payoffs haut/bas ?	V_u=3.00, V_d=0.00.	CEA_ISUP Finance binomial payoff
Même arbre : prix aujourd'hui du call K=32 ?	V0≈1.28.	CEA_ISUP Finance binomial pricing
En statistique inférentielle, qu'est-ce qu'une statistique ?	Une fonction des variables aléatoires observées ; c'est elle-même une variable aléatoire.	CEA_ISUP Statistiques definitions
Qu'est-ce qu'un estimateur ?	Une statistique construite pour estimer un paramètre inconnu.	CEA_ISUP Statistiques estimateurs
Consistance d'un estimateur ?	Il converge vers la vraie valeur du paramètre lorsque n→∞.	CEA_ISUP Statistiques estimateurs
Biais de T pour θ ?	Biais(T)=E[T]−θ.	CEA_ISUP Statistiques estimateurs
Risque quadratique / MSE ?	MSE=Var(T)+Biais(T)^2.	CEA_ISUP Statistiques estimateurs
Estimateur sans biais ?	E[T]=θ.	CEA_ISUP Statistiques estimateurs
Intervalle de confiance : objet encadré ?	Le paramètre inconnu est encadré par deux bornes aléatoires calculées à partir des données.	CEA_ISUP Statistiques IC
Erreur de type I ?	Rejeter H0 alors qu'elle est vraie ; probabilité α.	CEA_ISUP Statistiques tests
Erreur de type II ?	Ne pas rejeter H0 alors que H1 est vraie ; probabilité β.	CEA_ISUP Statistiques tests
Puissance d'un test ?	1−β.	CEA_ISUP Statistiques tests
Région critique ?	Ensemble des valeurs de la statistique de test conduisant au rejet de H0.	CEA_ISUP Statistiques tests
Test unilatéral à 5 % : quantile normal usuel ?	1,645 environ.	CEA_ISUP Statistiques tests
Test bilatéral à 5 % : quantile normal usuel ?	1,96.	CEA_ISUP Statistiques tests
Erreur standard d'une moyenne si σ connu ?	σ/√n.	CEA_ISUP Statistiques tests
Erreur standard d'une proportion sous H0:p=p0 ?	√[p0(1−p0)/n].	CEA_ISUP Statistiques proportions
Statistique Z pour H0:p=p0 ?	(p̂−p0)/√[p0(1−p0)/n].	CEA_ISUP Statistiques proportions
Que représente p ?	La proportion vraie dans la population.	CEA_ISUP Statistiques proportions
Que représente p̂ ?	La proportion observée dans l'échantillon.	CEA_ISUP Statistiques proportions
Principe du maximum de vraisemblance ?	Choisir le paramètre qui maximise la vraisemblance des données observées.	CEA_ISUP Statistiques MLE
Loi jointe d'un vecteur (X1,…,Xn) ?	La loi conjointe des n variables ; elle n'est un produit que sous indépendance.	CEA_ISUP Statistiques definitions
Si X et Y indépendantes, Cov(X,Y) ?	0.	CEA_ISUP Statistiques probabilites
Si X et Y indépendantes, Var(X+Y) ?	Var(X)+Var(Y).	CEA_ISUP Statistiques probabilites
Somme de normales indépendantes ?	Normale, avec moyennes qui s'additionnent et variances qui s'additionnent.	CEA_ISUP Statistiques normale
Formule de Bayes ?	P(A|B)=P(B|A)P(A)/P(B).	CEA_ISUP Statistiques bayes
Loi de Poisson : espérance et variance ?	Toutes deux égales à λ.	CEA_ISUP Statistiques poisson
Somme de Poisson indépendantes λ1 et λ2 ?	Poisson(λ1+λ2).	CEA_ISUP Statistiques poisson
Loi exponentielle : fonction de survie ?	P(X>t)=e^(−λt).	CEA_ISUP Statistiques exponentielle
Propriété sans mémoire de l'exponentielle ?	P(X>s+t|X>s)=P(X>t).	CEA_ISUP Statistiques exponentielle
Régression homoscédastique : hypothèse sur Var(ε_i) ?	Variance constante σ².	CEA_ISUP Statistiques regression
Régression hétéroscédastique : que change-t-on ?	La variance des résidus dépend des observations ; on peut utiliser des moindres carrés pondérés.	CEA_ISUP Statistiques regression
Moindres carrés ordinaires : mesure minimisée ?	Somme des carrés des résidus.	CEA_ISUP Statistiques regression
Moindres carrés pondérés : mesure minimisée ?	Somme pondérée des carrés des résidus.	CEA_ISUP Statistiques regression
ACP : à quoi correspondent les vecteurs propres ?	Aux directions / axes principaux.	CEA_ISUP Statistiques ACP
ACP : à quoi correspondent les valeurs propres ?	À la variance (inertie) expliquée par chaque axe.	CEA_ISUP Statistiques ACP
ACP : propriété des composantes principales ?	Elles sont deux à deux non corrélées et ordonnées par variance décroissante.	CEA_ISUP Statistiques ACP
Pourquoi centrer les données avant ACP ?	Pour étudier la variabilité autour de la moyenne plutôt que la position absolue.	CEA_ISUP Statistiques ACP
AFC : type de variables étudiées ?	Principalement deux variables qualitatives via un tableau de contingence.	CEA_ISUP Statistiques AFC
Méthode de Ward en classification : objectif ?	Fusionner les classes en minimisant l'augmentation d'inertie intraclasse ; donc classes compactes.	CEA_ISUP Statistiques Ward
Classification efficace : inertie interclasse et intraclasse ?	Interclasse élevée, intraclasse faible.	CEA_ISUP Statistiques classification
Lien identité dans un GLM : forme de la moyenne ?	μ=Xβ.	CEA_ISUP Statistiques GLM
Lien log dans un GLM : forme de la moyenne ?	μ=exp(Xβ).	CEA_ISUP Statistiques GLM
Approximation normale : p̂=0,60, n=100. IC 95 % de p (Wald) ?	SE≈0,0490 ; IC≈[0,504 ; 0,696].	CEA_ISUP Statistiques IC proportion
Approximation normale : p̂=0,40, n=200. IC 95 % de p (Wald) ?	SE≈0,0346 ; IC≈[0,332 ; 0,468].	CEA_ISUP Statistiques IC proportion
Approximation normale : p̂=0,55, n=400. IC 95 % de p (Wald) ?	SE≈0,0249 ; IC≈[0,501 ; 0,599].	CEA_ISUP Statistiques IC proportion
Approximation normale : p̂=0,30, n=500. IC 95 % de p (Wald) ?	SE≈0,0205 ; IC≈[0,260 ; 0,340].	CEA_ISUP Statistiques IC proportion
Si on multiplie n par 2, par quel facteur la largeur d'un IC asymptotique change-t-elle ?	Elle est divisée par √2 ≈ 1,414.	CEA_ISUP Statistiques IC
Si on multiplie n par 4, par quel facteur la largeur d'un IC asymptotique change-t-elle ?	Elle est divisée par 2.	CEA_ISUP Statistiques IC
Test de moyenne : μ0=12, x̄=11.4, σ=2.5, n=100, test left. Statistique Z et décision à 5 % ?	Z=-2,40 ; rejeter H0.	CEA_ISUP Statistiques tests calcul
Test de moyenne : μ0=50, x̄=52, σ=8, n=64, test right. Statistique Z et décision à 5 % ?	Z=2,00 ; rejeter H0.	CEA_ISUP Statistiques tests calcul
Test de moyenne : μ0=20, x̄=19.2, σ=4, n=100, test two. Statistique Z et décision à 5 % ?	Z=-2,00 ; rejeter H0.	CEA_ISUP Statistiques tests calcul
H0:p=0,50, p̂=0,55, n=400. Valeur de Z ?	SE=0,0250, Z=2,00.	CEA_ISUP Statistiques proportions calcul
H0:p=0,40, p̂=0,44, n=225. Valeur de Z ?	SE=0,0327, Z=1,22.	CEA_ISUP Statistiques proportions calcul
H0:p=0,20, p̂=0,17, n=500. Valeur de Z ?	SE=0,0179, Z=-1,68.	CEA_ISUP Statistiques proportions calcul
Estimateur de biais 2,0 et variance 9,00 : MSE ?	13,00.	CEA_ISUP Statistiques estimateurs MSE
Estimateur de biais -1,0 et variance 4,00 : MSE ?	5,00.	CEA_ISUP Statistiques estimateurs MSE
Estimateur de biais 0,0 et variance 7,00 : MSE ?	7,00.	CEA_ISUP Statistiques estimateurs MSE
Estimateur de biais 1,5 et variance 2,75 : MSE ?	5,00.	CEA_ISUP Statistiques estimateurs MSE
Bayes : P(bon risque)=0,20, P(pas d'accident|bon risque)=0,05, autre classe=0,80 avec P(pas d'accident|autre)=0,20. P(bon risque|pas d'accident) ?	0,059.	CEA_ISUP Statistiques bayes calcul
Bayes : P(classe A)=0,30, P(test positif|classe A)=0,80, autre classe=0,70 avec P(test positif|autre)=0,20. P(classe A|test positif) ?	0,632.	CEA_ISUP Statistiques bayes calcul
ACP sur matrice de covariance vs corrélation : quand préférer corrélation ?	Quand les variables ont des échelles/unités très différentes ; on standardise.	CEA_ISUP Statistiques ACP
Somme des valeurs propres en ACP sur covariance ?	Égale à la variance totale, c.-à-d. la trace de la matrice de covariance.	CEA_ISUP Statistiques ACP
Part d'inertie expliquée par l'axe k ?	λ_k / Σ_j λ_j.	CEA_ISUP Statistiques ACP
Deux variables parfaitement corrélées en ACP : redondance ?	Elles apportent essentiellement une même direction d'information.	CEA_ISUP Statistiques ACP
AFC : distance usuelle entre profils ?	Distance du χ².	CEA_ISUP Statistiques AFC
Ward : quel effet d'une fusion ?	L'inertie intraclasse augmente ; Ward choisit la plus petite augmentation possible.	CEA_ISUP Statistiques Ward
Année de survenance : définition ?	Année au cours de laquelle le sinistre survient, indépendamment de son paiement.	CEA_ISUP Assurance_non-vie survenance
Âge de développement : définition ?	Temps écoulé depuis la survenance pour observer la liquidation.	CEA_ISUP Assurance_non-vie triangle
Triangle incrémental : une cellule représente quoi ?	Le flux payé pendant cette période de développement.	CEA_ISUP Assurance_non-vie triangle
Triangle cumulé : une cellule représente quoi ?	Le total payé jusqu'à cette période de développement.	CEA_ISUP Assurance_non-vie triangle
Passage incrémental→cumulé ?	Sommer de gauche à droite sur chaque ligne.	CEA_ISUP Assurance_non-vie triangle
Passage cumulé→incrémental ?	Prendre les différences de deux cumuls successifs.	CEA_ISUP Assurance_non-vie triangle
Charge de sinistres à une date ?	Règlements cumulés + provisions pour sinistres restant à payer.	CEA_ISUP Assurance_non-vie provision
Provision restante si ultime connu ?	Ultime − règlements cumulés.	CEA_ISUP Assurance_non-vie provision
Ratio de sinistralité S/P ?	Charge de sinistres / primes acquises.	CEA_ISUP Assurance_non-vie ratio
Pourquoi primes acquises au dénominateur du S/P ?	Elles correspondent à la période de risque effectivement couverte.	CEA_ISUP Assurance_non-vie ratio
Provision au dossier ?	Estimation individualisée du coût restant d'un sinistre connu.	CEA_ISUP Assurance_non-vie provision
IBNR ?	Sinistres survenus mais non déclarés / insuffisamment provisionnés.	CEA_ISUP Assurance_non-vie provision
PSAP ?	Provision pour sinistres à payer : estimation des paiements futurs liés aux sinistres passés.	CEA_ISUP Assurance_non-vie provision
PPNA ?	Provision pour primes non acquises : fraction des primes relative aux périodes de couverture futures.	CEA_ISUP Assurance_non-vie prime
Principe Chain Ladder ?	Le développement des sinistres est supposé comparable entre années de survenance.	CEA_ISUP Assurance_non-vie chain_ladder
Facteur Chain Ladder f_j ?	Σ_i C_{i,j+1}/Σ_i C_{i,j}.	CEA_ISUP Assurance_non-vie chain_ladder
Modèle sous-jacent au Chain Ladder déterministe classique ?	Proportionnalité entre colonnes successives.	CEA_ISUP Assurance_non-vie chain_ladder
Ultime via facteurs âge-à-âge ?	Dernier cumul observé × produit des facteurs de développement restants.	CEA_ISUP Assurance_non-vie chain_ladder
Boni de liquidation ?	Estimation antérieure supérieure au coût finalement observé / réestimé : évolution favorable.	CEA_ISUP Assurance_non-vie boni_mali
Mali de liquidation ?	Estimation antérieure insuffisante : évolution défavorable.	CEA_ISUP Assurance_non-vie boni_mali
GLM : quelle quantité est modélisée via le prédicteur linéaire ?	L'espérance conditionnelle μ via une fonction de lien g(μ)=Xβ.	CEA_ISUP Assurance_non-vie GLM
GLM multiplicatif : lien naturel souvent utilisé pour des montants positifs ?	Lien logarithmique, donnant μ=exp(Xβ).	CEA_ISUP Assurance_non-vie GLM
GLM additif : lien correspondant ?	Lien identité, μ=Xβ.	CEA_ISUP Assurance_non-vie GLM
MLE dans un GLM : critère optimisé ?	La vraisemblance (ou log-vraisemblance).	CEA_ISUP Assurance_non-vie GLM
Antisélection : définition ?	Les risques élevés choisissent davantage le contrat lorsque le tarif ne reflète pas leur risque.	CEA_ISUP Assurance_non-vie antiselection
Aléa moral : définition ?	Le comportement de l'assuré change après couverture et augmente le risque.	CEA_ISUP Assurance_non-vie alea_moral
Asymétrie d'information : relation avec antisélection ?	L'antisélection est une conséquence possible d'une information privée avant contrat.	CEA_ISUP Assurance_non-vie antiselection
Chain Ladder : lignes observées 100→150 et 120→180. Facteur agrégé 0→1 ?	f=(150+180)/(100+120)=1,500.	CEA_ISUP Assurance_non-vie chain_ladder calcul
Avec ce facteur, un cumul récent de 140 devient combien au développement suivant ?	140×1,500≈210,0.	CEA_ISUP Assurance_non-vie chain_ladder calcul
Chain Ladder : lignes observées 200→260 et 250→325. Facteur agrégé 0→1 ?	f=(260+325)/(200+250)=1,300.	CEA_ISUP Assurance_non-vie chain_ladder calcul
Avec ce facteur, un cumul récent de 300 devient combien au développement suivant ?	300×1,300≈390,0.	CEA_ISUP Assurance_non-vie chain_ladder calcul
Chain Ladder : lignes observées 80→120 et 100→150. Facteur agrégé 0→1 ?	f=(120+150)/(80+100)=1,500.	CEA_ISUP Assurance_non-vie chain_ladder calcul
Avec ce facteur, un cumul récent de 90 devient combien au développement suivant ?	90×1,500≈135,0.	CEA_ISUP Assurance_non-vie chain_ladder calcul
Cumul observé 200; facteurs restants 1.3 puis 1.1. Ultime Chain Ladder ?	200×1.3×1.1=286,0.	CEA_ISUP Assurance_non-vie chain_ladder ultime
Même cas : provision totale restante ?	Ultime 286,0 − payé 200 = 86,0.	CEA_ISUP Assurance_non-vie chain_ladder provision
Cumul observé 500; facteurs restants 1.2 puis 1.05. Ultime Chain Ladder ?	500×1.2×1.05=630,0.	CEA_ISUP Assurance_non-vie chain_ladder ultime
Même cas : provision totale restante ?	Ultime 630,0 − payé 500 = 130,0.	CEA_ISUP Assurance_non-vie chain_ladder provision
Cumul observé 350; facteurs restants 1.4 puis 1.08. Ultime Chain Ladder ?	350×1.4×1.08=529,2.	CEA_ISUP Assurance_non-vie chain_ladder ultime
Même cas : provision totale restante ?	Ultime 529,2 − payé 350 = 179,2.	CEA_ISUP Assurance_non-vie chain_ladder provision
Règlements cumulés 7 M€, PSAP 5 M€, primes acquises 20 M€ : S/P ?	(7+5)/20=60,0 %.	CEA_ISUP Assurance_non-vie ratio calcul
Règlements cumulés 12 M€, PSAP 3 M€, primes acquises 30 M€ : S/P ?	(12+3)/30=50,0 %.	CEA_ISUP Assurance_non-vie ratio calcul
Règlements cumulés 9 M€, PSAP 6 M€, primes acquises 25 M€ : S/P ?	(9+6)/25=60,0 %.	CEA_ISUP Assurance_non-vie ratio calcul
Coût total dossier estimé 5 500 €, règlements déjà effectués 750 € : provision au dossier ?	4 750 €.	CEA_ISUP Assurance_non-vie provision calcul
Contrat 36 mois, prime totale 480 k€, 6 mois déjà acquis, risque uniforme : PPNA ?	480×30/36=400 k€.	CEA_ISUP Assurance_non-vie PPNA calcul
Contrat annuel, prime 1 200 €, effet 1er octobre. PPNA au 31 décembre, prorata temporis uniforme ?	9 mois sur 12 restent à couvrir : 1 200×9/12=900 €.	CEA_ISUP Assurance_non-vie PPNA calcul
Modèle additif μ=β0+β1x1+β2x2. β=(1500,2500,-1000), x=(1,1). μ ?	1500+2500−1000=3000.	CEA_ISUP Assurance_non-vie GLM additif
Modèle multiplicatif log μ=β0+β1x. Si exp(β0)=1500 et exp(β1)=1,3, x=1 : μ ?	1500×1,3=1950.	CEA_ISUP Assurance_non-vie GLM multiplicatif
Lien log : coefficient β=log(1,2). Interprétation d'une hausse d'une unité de x ?	La moyenne est multipliée par 1,2, soit +20 %.	CEA_ISUP Assurance_non-vie GLM
Lien identité : coefficient β=200. Interprétation d'une hausse d'une unité de x ?	La moyenne augmente de 200 unités, toutes choses égales par ailleurs.	CEA_ISUP Assurance_non-vie GLM
Pourquoi le lien log est-il pratique pour une fréquence ou un coût positif ?	Il garantit une moyenne prédite strictement positive.	CEA_ISUP Assurance_non-vie GLM
Surdispersion : définition intuitive ?	Variance observée supérieure à celle impliquée par le modèle de base, par ex. Var(Y)>E(Y) pour un Poisson.	CEA_ISUP Assurance_non-vie GLM
Résultat technique simplifié avant frais/financier : logique ?	Primes acquises − charge de sinistres, en cohérence de période.	CEA_ISUP Assurance_non-vie resultat
Variation de PSAP positive : effet sur la charge de sinistres ?	Elle augmente la charge de l'exercice, toutes choses égales par ailleurs.	CEA_ISUP Assurance_non-vie resultat
Règlements de l'exercice + PSAP fin − PSAP début : représente quoi ?	Une approximation de la charge de sinistres de l'exercice (hors autres ajustements).	CEA_ISUP Assurance_non-vie resultat
Prime de réassurance : effet sur le résultat net de réassurance ?	C'est un coût de cession ; les récupérations de réassurance viennent en sens opposé.	CEA_ISUP Assurance_non-vie reassurance
Triangle de charges vs triangle de paiements : différence clé ?	La charge inclut règlements + provisions au dossier ; les paiements ne reflètent que les décaissements.	CEA_ISUP Assurance_non-vie triangle
Pourquoi les années récentes ont-elles moins de colonnes observées dans un triangle ?	Elles ont eu moins de temps pour se développer.	CEA_ISUP Assurance_non-vie triangle
Mack vs Chain Ladder déterministe : différence générale ?	Mack ajoute une structure stochastique permettant d'estimer l'incertitude autour des prédictions Chain Ladder.	CEA_ISUP Assurance_non-vie mack
Intervalle de prédiction Mack plus large lorsque l'incertitude augmente : vrai ou faux ?	Vrai.	CEA_ISUP Assurance_non-vie mack
Dans un triangle cumulé, peut-on additionner les colonnes pour obtenir le total payé ?	Non : cela compterait plusieurs fois les mêmes paiements.	CEA_ISUP Assurance_non-vie piege
Écart à l'expérience : idée ?	Comparer ce qui a été observé depuis le dernier arrêté à ce qui était implicitement attendu par l'estimation précédente.	CEA_ISUP Assurance_non-vie boni_mali
Réserve IBNR élevée : que suggère-t-elle ?	Une part importante du coût futur n'est pas encore enregistrée dossier par dossier.	CEA_ISUP Assurance_non-vie provision
Coefficient de développement égal à 1 : interprétation ?	Aucune croissance moyenne supplémentaire entre ces deux âges.	CEA_ISUP Assurance_non-vie chain_ladder
Coefficient ultime cumulé 1,25 : réserve relative au payé ?	Ultime=1,25×payé, donc réserve=0,25×payé.	CEA_ISUP Assurance_non-vie chain_ladder
Sinistre clôturé sans paiement futur attendu : provision dossier ?	0.	CEA_ISUP Assurance_non-vie provision
Dans une table de mortalité, que représente l_x ?	Le nombre de survivants à l'âge exact x.	CEA_ISUP Assurance_vie table_mortalite
d_x dans une table de mortalité ?	Nombre de décès entre x et x+1 : d_x=l_x−l_{x+1}.	CEA_ISUP Assurance_vie table_mortalite
q_x ?	Probabilité de décéder entre x et x+1 : q_x=d_x/l_x.	CEA_ISUP Assurance_vie table_mortalite
p_x ?	Probabilité de survivre un an : p_x=l_{x+1}/l_x=1−q_x.	CEA_ISUP Assurance_vie table_mortalite
_n p_x ?	Probabilité de survivre de x à x+n : l_{x+n}/l_x.	CEA_ISUP Assurance_vie table_mortalite
_n q_x ?	Probabilité de décéder avant x+n : 1−l_{x+n}/l_x.	CEA_ISUP Assurance_vie table_mortalite
Bon dénominateur pour une probabilité conditionnelle à l'âge x ?	l_x, car on conditionne sur le fait d'être vivant à x.	CEA_ISUP Assurance_vie table_mortalite
Deux vies indépendantes : probabilité que les deux survivent n ans ?	Produit de leurs probabilités de survie.	CEA_ISUP Assurance_vie multi_vies
Deux vies indépendantes : probabilité que les deux décèdent avant n ans ?	Produit de leurs probabilités de décès.	CEA_ISUP Assurance_vie multi_vies
Deux vies indépendantes : au moins une survit ?	1−q_1 q_2.	CEA_ISUP Assurance_vie multi_vies
n têtes indépendantes, groupe s'éteignant au premier décès : intensité instantanée totale ?	Somme des intensités individuelles.	CEA_ISUP Assurance_vie hazard
Force de mortalité μ_x : interprétation ?	Taux instantané de décès conditionnel au fait d'être vivant à x.	CEA_ISUP Assurance_vie hazard
Capital différé pur : paiement quand ?	À l'échéance seulement si l'assuré est vivant.	CEA_ISUP Assurance_vie prime_pure
Prime pure unique d'un capital différé C sur n ans ?	C × v^n × _n p_x.	CEA_ISUP Assurance_vie prime_pure
Facteur d'actualisation v au taux i ?	v=1/(1+i).	CEA_ISUP Assurance_vie prime_pure
